Row_ID,Order_ID,Region,Category,City,Sales,Discount,Profit
1,ORD-10001,Central,Furniture,New York,95.81,0.3,1.02
2,ORD-10002,West,Furniture,Houston,219.65,0.4,8.33
3,ORD-10003,South,Office Supplies,New York,206.72,0.3,3.16
4,ORD-10004,East,Office Supplies,Houston,107.83,0.4,8.83
5,ORD-10005,West,Office Supplies,Los Angeles,400.85,0.0,60.06
6,ORD-10006,East,Office Supplies,Houston,177.38,0.2,20.68
7,ORD-10007,West,Office Supplies,Seattle,146.24,0.2,27.21
8,ORD-10008,West,Office Supplies,Phoenix,151.61,0.1,20.27
9,ORD-10009,South,Technology,Los Angeles,210.65,0.0,29.62
10,ORD-10010,East,Technology,Houston,63.0,0.3,9.21
11,ORD-10011,West,Office Supplies,Phoenix,95.86,0.4,10.87
12,ORD-10012,Central,Office Supplies,Atlanta,155.79,0.1,7.95
13,ORD-10013,Central,Technology,New York,93.63,0.1,13.56
14,ORD-10014,East,Office Supplies,Chicago,67.55,0.4,1.59
15,ORD-10015,South,Office Supplies,Houston,70.34,0.3,4.32
16,ORD-10016,East,Furniture,Houston,172.91,0.0,21.86
17,ORD-10017,West,Technology,Denver,77.49,0.3,5.57
18,ORD-10018,West,Office Supplies,New York,68.16,0.3,4.52
19,ORD-10019,East,Office Supplies,Denver,40.26,0.3,3.9
20,ORD-10020,Central,Technology,Denver,59.91,0.3,4.06
21,ORD-10021,East,Office Supplies,Denver,128.37,0.3,5.69
22,ORD-10022,East,Office Supplies,Chicago,73.25,0.2,8.35
23,ORD-10023,Central,Furniture,Denver,147.55,0.0,17.23
24,ORD-10024,West,Technology,New York,166.2,0.2,28.93
25,ORD-10025,South,Office Supplies,Chicago,104.38,0.1,15.85
26,ORD-10026,East,Furniture,New York,199.33,0.1,20.25
27,ORD-10027,South,Furniture,Chicago,212.27,0.1,22.36
28,ORD-10028,East,Furniture,Phoenix,60.84,0.2,4.39
29,ORD-10029,South,Office Supplies,Seattle,172.98,0.1,20.89
30,ORD-10030,West,Office Supplies,New York,75.19,0.1,8.04
31,ORD-10031,South,Office Supplies,Los Angeles,389.79,0.0,65.29
32,ORD-10032,West,Technology,Chicago,134.89,0.2,15.72
33,ORD-10033,East,Technology,New York,169.63,0.1,25.05
34,ORD-10034,East,Furniture,Seattle,103.48,0.1,12.46
35,ORD-10035,West,Office Supplies,Phoenix,200.8,0.2,27.75
36,ORD-10036,West,Office Supplies,Chicago,69.55,0.3,7.39
37,ORD-10037,South,Technology,New York,102.98,0.0,14.21
38,ORD-10038,West,Technology,New York,50.79,0.1,8.29
